DateKey,Date,Day,WeekNum,Month,MonthNum,Quarter,Year
20131230,2013-12-30,Monday,53,Dec,12,4,2013
20131231,2013-12-31,Tuesday,53,Dec,12,4,2013
20140101,2014-01-01,Wednesday,1,Jan,1,1,2014
20140102,2014-01-02,Thursday,1,Jan,1,1,2014
20140103,2014-01-03,Friday,1,Jan,1,1,2014
20140104,2014-01-04,Saturday,1,Jan,1,1,2014
20140105,2014-01-05,Sunday,2,Jan,1,1,2014
20140106,2014-01-06,Monday,2,Jan,1,1,2014
20140107,2014-01-07,Tuesday,2,Jan,1,1,2014
20140108,2014-01-08,Wednesday,2,Jan,1,1,2014
20140109,2014-01-09,Thursday,2,Jan,1,1,2014
20140110,2014-01-10,Friday,2,Jan,1,1,2014
20140111,2014-01-11,Saturday,2,Jan,1,1,2014
20140112,2014-01-12,Sunday,3,Jan,1,1,2014
20140113,2014-01-13,Monday,3,Jan,1,1,2014
20140114,2014-01-14,Tuesday,3,Jan,1,1,2014
20140115,2014-01-15,Wednesday,3,Jan,1,1,2014
20140116,2014-01-16,Thursday,3,Jan,1,1,2014
20140117,2014-01-17,Friday,3,Jan,1,1,2014
20140118,2014-01-18,Saturday,3,Jan,1,1,2014
20140119,2014-01-19,Sunday,4,Jan,1,1,2014
20140120,2014-01-20,Monday,4,Jan,1,1,2014
20140121,2014-01-21,Tuesday,4,Jan,1,1,2014
20140122,2014-01-22,Wednesday,4,Jan,1,1,2014
20140123,2014-01-23,Thursday,4,Jan,1,1,2014
20140124,2014-01-24,Friday,4,Jan,1,1,2014
20140125,2014-01-25,Saturday,4,Jan,1,1,2014
20140126,2014-01-26,Sunday,5,Jan,1,1,2014
20140127,2014-01-27,Monday,5,Jan,1,1,2014
20140128,2014-01-28,Tuesday,5,Jan,1,1,2014
20140129,2014-01-29,Wednesday,5,Jan,1,1,2014
20140130,2014-01-30,Thursday,5,Jan,1,1,2014
20140131,2014-01-31,Friday,5,Jan,1,1,2014
20140201,2014-02-01,Saturday,5,Feb,2,1,2014
20140202,2014-02-02,Sunday,6,Feb,2,1,2014
20140203,2014-02-03,Monday,6,Feb,2,1,2014
20140204,2014-02-04,Tuesday,6,Feb,2,1,2014
20140205,2014-02-05,Wednesday,6,Feb,2,1,2014
20140206,2014-02-06,Thursday,6,Feb,2,1,2014
20140207,2014-02-07,Friday,6,Feb,2,1,2014
20140208,2014-02-08,Saturday,6,Feb,2,1,2014
20140209,2014-02-09,Sunday,7,Feb,2,1,2014
20140210,2014-02-10,Monday,7,Feb,2,1,2014
20140211,2014-02-11,Tuesday,7,Feb,2,1,2014
